instruction,context,response
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0011"",""amount"":6200,""channel"":""NEFT"",""sender_account"":""AC77120"",""receiver_account"":""AC11440"",""device_id"":""DEV-11X"",""sender_location"":""Chennai"",""receiver_location"":""Chennai"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":1,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":9,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0012"",""amount"":74000,""channel"":""UPI"",""sender_account"":""AC88420"",""receiver_account"":""AC33771"",""device_id"":""DEV-71A"",""sender_location"":""Mumbai"",""receiver_location"":""Ahmedabad"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":0,""graph_link_count"":9,""shared_device_account_count"":6,""funds_moved_within_minutes"":6,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":86,""action"":""Debit freeze and case escalation"",""reasons"":[""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0013"",""amount"":3300,""channel"":""CARD"",""sender_account"":""AC31991"",""receiver_account"":""AC77001"",""device_id"":""DEV-41K"",""sender_location"":""Delhi"",""receiver_location"":""Delhi"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":4,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0014"",""amount"":39000,""channel"":""UPI"",""sender_account"":""AC72110"",""receiver_account"":""AC44771"",""device_id"":""DEV-71A"",""sender_location"":""Nagpur"",""receiver_location"":""Delhi"",""is_watchlisted_account"":0,""is_watchlisted_device"":1,""is_cyber_alert_match"":0,""graph_link_count"":5,""shared_device_account_count"":5,""funds_moved_within_minutes"":9,""cashout_detected"":0,""location_mismatch"":1}","{""label"":""false_positive"",""risk_score"":58,""action"":""Allow with monitoring after threshold calibration"",""reasons"":[""Watchlisted or shared suspicious device detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0015"",""amount"":121000,""channel"":""IMPS"",""sender_account"":""AC55331"",""receiver_account"":""AC99820"",""device_id"":""DEV-42X"",""sender_location"":""Surat"",""receiver_location"":""Ranchi"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":8,""shared_device_account_count"":4,""funds_moved_within_minutes"":2,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""fraud"",""risk_score"":95,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0016"",""amount"":5300,""channel"":""WALLET"",""sender_account"":""AC44021"",""receiver_account"":""AC11229"",""device_id"":""DEV-28M"",""sender_location"":""Pune"",""receiver_location"":""Pune"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":6,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0017"",""amount"":168000,""channel"":""UPI"",""sender_account"":""AC33771"",""receiver_account"":""AC68120"",""device_id"":""DEV-71A"",""sender_location"":""Ahmedabad"",""receiver_location"":""Kanpur"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":11,""shared_device_account_count"":6,""funds_moved_within_minutes"":3,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":99,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0018"",""amount"":22000,""channel"":""NEFT"",""sender_account"":""AC89021"",""receiver_account"":""AC77118"",""device_id"":""DEV-64X"",""sender_location"":""Indore"",""receiver_location"":""Indore"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":1,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":10,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0019"",""amount"":64000,""channel"":""UPI"",""sender_account"":""AC11192"",""receiver_account"":""AC90214"",""device_id"":""DEV-99M"",""sender_location"":""Mumbai"",""receiver_location"":""Patna"",""is_watchlisted_account"":0,""is_watchlisted_device"":1,""is_cyber_alert_match"":0,""graph_link_count"":5,""shared_device_account_count"":4,""funds_moved_within_minutes"":7,""cashout_detected"":0,""location_mismatch"":1}","{""label"":""review"",""risk_score"":72,""action"":""Hold transaction for review"",""reasons"":[""Watchlisted or shared suspicious device detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0020"",""amount"":188000,""channel"":""IMPS"",""sender_account"":""AC90214"",""receiver_account"":""AC50218"",""device_id"":""DEV-99M"",""sender_location"":""Patna"",""receiver_location"":""Guwahati"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":10,""shared_device_account_count"":5,""funds_moved_within_minutes"":2,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""fraud"",""risk_score"":98,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0021"",""amount"":7800,""channel"":""CARD"",""sender_account"":""AC55210"",""receiver_account"":""AC33291"",""device_id"":""DEV-34A"",""sender_location"":""Mumbai"",""receiver_location"":""Mumbai"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":5,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0022"",""amount"":83000,""channel"":""UPI"",""sender_account"":""AC66510"",""receiver_account"":""AC44771"",""device_id"":""DEV-71A"",""sender_location"":""Hyderabad"",""receiver_location"":""Delhi"",""is_watchlisted_account"":0,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":7,""shared_device_account_count"":6,""funds_moved_within_minutes"":5,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":91,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted or shared suspicious device detected"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0023"",""amount"":12400,""channel"":""NEFT"",""sender_account"":""AC20991"",""receiver_account"":""AC77884"",""device_id"":""DEV-78K"",""sender_location"":""Kolkata"",""receiver_location"":""Kolkata"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":8,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0024"",""amount"":47000,""channel"":""UPI"",""sender_account"":""AC44002"",""receiver_account"":""AC22310"",""device_id"":""DEV-13M"",""sender_location"":""Jaipur"",""receiver_location"":""Jaipur"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":2,""shared_device_account_count"":1,""funds_moved_within_minutes"":18,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""false_positive"",""risk_score"":44,""action"":""Allow with monitoring after threshold calibration"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0025"",""amount"":99000,""channel"":""UPI"",""sender_account"":""AC70019"",""receiver_account"":""AC44771"",""device_id"":""DEV-42X"",""sender_location"":""Bhopal"",""receiver_location"":""Delhi"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":8,""shared_device_account_count"":4,""funds_moved_within_minutes"":4,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""fraud"",""risk_score"":96,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0026"",""amount"":3500,""channel"":""WALLET"",""sender_account"":""AC38920"",""receiver_account"":""AC88002"",""device_id"":""DEV-66A"",""sender_location"":""Goa"",""receiver_location"":""Goa"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":6,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0027"",""amount"":157000,""channel"":""RTGS"",""sender_account"":""AC44771"",""receiver_account"":""AC81110"",""device_id"":""DEV-71A"",""sender_location"":""Delhi"",""receiver_location"":""Meerut"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":12,""shared_device_account_count"":6,""funds_moved_within_minutes"":2,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":99,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0028"",""amount"":6000,""channel"":""CARD"",""sender_account"":""AC92210"",""receiver_account"":""AC11890"",""device_id"":""DEV-92K"",""sender_location"":""Pune"",""receiver_location"":""Pune"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":1,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":7,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0029"",""amount"":58000,""channel"":""UPI"",""sender_account"":""AC11881"",""receiver_account"":""AC90214"",""device_id"":""DEV-99M"",""sender_location"":""Delhi"",""receiver_location"":""Patna"",""is_watchlisted_account"":0,""is_watchlisted_device"":1,""is_cyber_alert_match"":0,""graph_link_count"":5,""shared_device_account_count"":4,""funds_moved_within_minutes"":9,""cashout_detected"":0,""location_mismatch"":1}","{""label"":""review"",""risk_score"":70,""action"":""Hold transaction for review"",""reasons"":[""Watchlisted or shared suspicious device detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0030"",""amount"":9200,""channel"":""NEFT"",""sender_account"":""AC55501"",""receiver_account"":""AC77891"",""device_id"":""DEV-20K"",""sender_location"":""Chandigarh"",""receiver_location"":""Chandigarh"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":6,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0031"",""amount"":76000,""channel"":""IMPS"",""sender_account"":""AC99110"",""receiver_account"":""AC33220"",""device_id"":""DEV-52M"",""sender_location"":""Surat"",""receiver_location"":""Noida"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":4,""shared_device_account_count"":2,""funds_moved_within_minutes"":7,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""review"",""risk_score"":63,""action"":""Hold transaction for review"",""reasons"":[""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0032"",""amount"":165000,""channel"":""UPI"",""sender_account"":""AC33220"",""receiver_account"":""AC11998"",""device_id"":""DEV-52M"",""sender_location"":""Noida"",""receiver_location"":""Agra"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":6,""shared_device_account_count"":2,""funds_moved_within_minutes"":3,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":78,""action"":""Debit freeze and case escalation"",""reasons"":[""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0033"",""amount"":4400,""channel"":""CARD"",""sender_account"":""AC44129"",""receiver_account"":""AC22901"",""device_id"":""DEV-18A"",""sender_location"":""Mysuru"",""receiver_location"":""Mysuru"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":5,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0034"",""amount"":110000,""channel"":""UPI"",""sender_account"":""AC77729"",""receiver_account"":""AC44771"",""device_id"":""DEV-71A"",""sender_location"":""Nashik"",""receiver_location"":""Delhi"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":9,""shared_device_account_count"":6,""funds_moved_within_minutes"":3,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":97,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0035"",""amount"":19000,""channel"":""NEFT"",""sender_account"":""AC88112"",""receiver_account"":""AC33009"",""device_id"":""DEV-31K"",""sender_location"":""Trivandrum"",""receiver_location"":""Trivandrum"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":1,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":11,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0036"",""amount"":53000,""channel"":""UPI"",""sender_account"":""AC33009"",""receiver_account"":""AC66001"",""device_id"":""DEV-31K"",""sender_location"":""Trivandrum"",""receiver_location"":""Kochi"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":2,""shared_device_account_count"":1,""funds_moved_within_minutes"":14,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""false_positive"",""risk_score"":45,""action"":""Allow with monitoring after threshold calibration"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0037"",""amount"":145000,""channel"":""IMPS"",""sender_account"":""AC66001"",""receiver_account"":""AC90190"",""device_id"":""DEV-31K"",""sender_location"":""Kochi"",""receiver_location"":""Coimbatore"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":5,""shared_device_account_count"":1,""funds_moved_within_minutes"":4,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":76,""action"":""Debit freeze and case escalation"",""reasons"":[""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0038"",""amount"":2100,""channel"":""WALLET"",""sender_account"":""AC11990"",""receiver_account"":""AC22340"",""device_id"":""DEV-15M"",""sender_location"":""Lucknow"",""receiver_location"":""Lucknow"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":4,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
